article,DOI.DOI,ISSN.ISSN,abstract.abstract,accepted.accepted,alternative-id.alternative-id,article-number.article-number,assertion.assertion[0].value,assertion.assertion[1].value,assertion.assertion[2].value,assertion.assertion[3].value,assertion.assertion[4].value,assertion.assertion[5].value,assertion.assertion[6].value,author.affiliation.id.id,author.author[0].ORCID,author.author[0].authenticated-orcid,author.author[0].family,author.author[0].given,author.author[0].sequence,author.author[1].ORCID,author.author[1].authenticated-orcid,author.author[1].family,author.author[1].given,author.author[1].sequence,author.author[2].ORCID,author.author[2].authenticated-orcid,author.author[2].family,author.author[2].given,author.author[2].sequence,author.author[3].ORCID,author.author[3].authenticated-orcid,author.author[3].family,author.author[3].given,author.author[3].sequence,author.author[4].ORCID,author.author[4].authenticated-orcid,author.author[4].family,author.author[4].given,author.author[4].sequence,author.author[5].ORCID,author.author[5].authenticated-orcid,author.author[5].family,author.author[5].given,author.author[5].sequence,container-title.container-title,funder.DOI,funder.award,funder.name,issue.issue,issue_date.issue_date,page.page,relation.relation.has-preprint,title.title,volume.volume,volume_year.volume_year
10.1088/1674-1137/ad57a8,y,y,y,n,n,n,Holographic timelike entanglement entropy from Rindler method*,Chinese Physics C,paper,© 2024 Chinese Physical Society and the Institute of High Energy Physics of the Chinese Academy of Sciences and the Institute of Modern Physics of the Chinese Academy of Sciences and IOP Publishing Ltd,2024-04-24,None,None,nr: 0,None,None,y,y,y,None,None,y,y,y,,,,,,,,,,,,,,,,,,,,,y,nr: 1,nr: 1,nr: 1,y,n,115113,n,y,y,n
10.1088/1674-1137/ad641b,y,y,y,n,n,n,Form factor for Dalitz decays from J/ψ to light pseudoscalars*,Chinese Physics C,paper,© 2024 Chinese Physical Society and the Institute of High Energy Physics of the Chinese Academy of Sciences and the Institute of Modern Physics of the Chinese Academy of Sciences and IOP Publishing Ltd,2024-06-14,None,None,nr: 0,None,None,y,y,y,None,None,y,y,y,None,None,y,y,y,None,None,y,y,y,None,None,y,y,y,None,None,y,y,y,y,nr: 13,nr: 13,nr: 13,y,n,113105,n,y,y,n
10.1088/1674-1137/ad84bb,y,y,y,n,n,n,Principles and prospects of Bose-Einstein correlation study at BESIII*,Chinese Physics C,paper,© 2024 Chinese Physical Society and the Institute of High Energy Physics of the Chinese Academy of Sciences and the Institute of Modern Physics of the Chinese Academy of Sciences and IOP Publishing Ltd,2024-06-11,None,None,nr: 0,None,None,y,y,y,None,None,y,y,y,,,,,,,,,,,,,,,,,,,,,y,nr: 2,nr: 2,nr: 2,y,n,113106,n,y,y,n
10.1088/1674-1137/ad77b2,y,y,y,n,n,n,Study of singly anti-charmed pentaquark production in b-factory*,Chinese Physics C,paper,© 2024 Chinese Physical Society and the Institute of High Energy Physics of the Chinese Academy of Sciences and the Institute of Modern Physics of the Chinese Academy of Sciences and IOP Publishing Ltd,2024-05-19,None,None,nr: 0,None,None,y,y,y,None,None,y,y,y,,,,,,,,,,,,,,,,,,,,,y,nr: 1,nr: 1,nr: 1,y,n,123105,n,y,y,n
10.1088/1674-1137/ad736f,y,y,y,n,n,n,Charm physics with overlap fermions on 2+1-flavor domain wall fermion configurations*,Chinese Physics C,paper,© 2024 Chinese Physical Society and the Institute of High Energy Physics of the Chinese Academy of Sciences and the Institute of Modern Physics of the Chinese Academy of Sciences and IOP Publishing Ltd,2024-07-17,None,None,nr: 0,None,None,y,y,y,None,None,y,y,y,None,None,y,y,y,None,None,y,y,y,None,None,y,y,y,None,None,y,y,y,y,nr: 11,nr: 11,nr: 11,y,n,123104,n,y,y,n
10.1088/1674-1137/ad77b3,y,y,y,n,n,n,Comprehensive constraints on fermionic dark matter-quark tensor interactions in direct detection experiments*,Chinese Physics C,paper,© 2024 Chinese Physical Society and the Institute of High Energy Physics of the Chinese Academy of Sciences and the Institute of Modern Physics of the Chinese Academy of Sciences and IOP Publishing Ltd,2024-07-24,None,None,nr: 0,None,None,y,y,y,None,None,y,y,y,None,None,y,y,y,None,None,y,y,y,,,,,,,,,,,y,nr: 1,nr: 1,nr: 1,y,n,123103,n,y,y,n
10.1088/1674-1137/ad75f5,y,y,y,n,n,n,Beauty-charm meson family with coupled channel effects and their strong decays*,Chinese Physics C,paper,© 2024 Chinese Physical Society and the Institute of High Energy Physics of the Chinese Academy of Sciences and the Institute of Modern Physics of the Chinese Academy of Sciences and IOP Publishing Ltd,2024-06-03,None,None,nr: 0,None,None,y,y,y,None,None,y,y,y,,,,,,,,,,,,,,,,,,,,,y,nr: 3,nr: 3,nr: 3,y,n,123101,n,y,y,n
10.1088/1674-1137/ad62de,y,y,y,n,n,n,"Polarized and unpolarized off-shell 
	   decay above the 
	   threshold*",Chinese Physics C,paper,© 2024 Chinese Physical Society and the Institute of High Energy Physics of the Chinese Academy of Sciences and the Institute of Modern Physics of the Chinese Academy of Sciences and IOP Publishing Ltd,2024-05-23,None,None,nr: 0,None,None,y,y,y,None,None,y,y,y,None,None,y,y,y,,,,,,,,,,,,,,,,y,nr: 1,nr: 1,nr: 1,y,n,113103,n,y,y,n
10.1088/1674-1137/ad6c09,y,y,y,n,n,n,"Analytical formula for the cross section of hadron production from e
               +
               e
               − collisions around the narrow charmouinum resonances",Chinese Physics C,paper,© 2024 Chinese Physical Society and the Institute of High Energy Physics of the Chinese Academy of Sciences and the Institute of Modern Physics of the Chinese Academy of Sciences and IOP Publishing Ltd,2023-11-22,None,None,nr: 0,None,None,y,y,y,None,None,y,y,y,None,None,y,y,y,,,,,,,,,,,,,,,,y,nr: 2,nr: 2,nr: 2,y,n,113104,n,y,y,n
10.1088/1674-1137/ad75f4,y,y,y,n,n,n,"CP violation of baryon decays with N
               π rescatterings*",Chinese Physics C,paper,© 2024 Chinese Physical Society and the Institute of High Energy Physics of the Chinese Academy of Sciences and the Institute of Modern Physics of the Chinese Academy of Sciences and IOP Publishing Ltd,2024-08-22,None,None,nr: 0,None,None,y,y,y,None,None,y,y,y,,,,,,,,,,,,,,,,,,,,,y,nr: 2,nr: 2,nr: 2,y,n,101001,n,y,y,n
